2025-08-20 16:59:09,068 - INFO - Starting SHODes Framework
2025-08-20 16:59:09,068 - INFO - Generated data for mecpot
2025-08-20 16:59:09,198 - INFO - Saved Data to data/mecpot_data.csv
2025-08-20 16:59:09,219 - INFO - Generated data for genpot1
2025-08-20 16:59:09,281 - INFO - Saved Data to data/genpot1_data.csv
2025-08-20 16:59:09,297 - INFO - Generated data for genpot2
2025-08-20 16:59:09,385 - INFO - Saved Data to data/genpot2_data.csv
2025-08-20 16:59:09,402 - INFO - Generated data for genpot3
2025-08-20 16:59:09,453 - INFO - Saved Data to data/genpot3_data.csv
2025-08-20 17:11:38,097 - INFO - Starting SHODes Framework
2025-08-20 17:11:38,097 - INFO - Generated data for mecpot
2025-08-20 17:11:38,166 - INFO - Saved Data to data/mecpot_data.csv
2025-08-20 17:11:38,185 - INFO - Generated data for genpot1
2025-08-20 17:11:38,250 - INFO - Saved Data to data/genpot1_data.csv
2025-08-20 17:11:38,267 - INFO - Generated data for genpot2
2025-08-20 17:11:38,332 - INFO - Saved Data to data/genpot2_data.csv
2025-08-20 17:11:38,348 - INFO - Generated data for genpot3
2025-08-20 17:11:38,411 - INFO - Saved Data to data/genpot3_data.csv
2025-08-20 17:11:41,874 - INFO - Training PINNs for mecpot
2025-08-20 17:11:42,374 - WARNING - Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
2025-08-20 17:11:42,418 - WARNING - Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
2025-08-20 17:14:45,491 - INFO - mecpot PINN2, Epoch 300, Loss: 0.0046
2025-08-20 17:14:55,566 - INFO - mecpot PINN2, Epoch 400, Loss: 0.0044
2025-08-20 17:15:05,606 - INFO - mecpot PINN2, Epoch 500, Loss: 0.0043
2025-08-20 17:15:15,639 - INFO - mecpot PINN2, Epoch 600, Loss: 0.0041
2025-08-20 17:15:25,686 - INFO - mecpot PINN2, Epoch 700, Loss: 0.0037
2025-08-20 17:15:35,744 - INFO - mecpot PINN2, Epoch 800, Loss: 0.0033
2025-08-20 17:15:45,769 - INFO - mecpot PINN2, Epoch 900, Loss: 0.0031
2025-08-20 17:15:55,812 - INFO - mecpot PINN2, Epoch 1000, Loss: 0.0030
2025-08-20 17:16:05,826 - INFO - mecpot PINN2, Epoch 1100, Loss: 0.0029
2025-08-20 17:16:15,820 - INFO - mecpot PINN2, Epoch 1200, Loss: 0.0029
2025-08-20 17:16:25,786 - INFO - mecpot PINN2, Epoch 1300, Loss: 0.0028
2025-08-20 17:16:35,777 - INFO - mecpot PINN2, Epoch 1400, Loss: 0.0028
2025-08-20 17:16:45,665 - INFO - Saved PINN 2 for mecpot
2025-08-20 17:16:45,787 - INFO - mecpot PINN3, Epoch 0, Loss: 0.0919
2025-08-20 17:16:55,812 - INFO - mecpot PINN3, Epoch 100, Loss: 0.0115
2025-08-20 17:17:05,826 - INFO - mecpot PINN3, Epoch 200, Loss: 0.0111
2025-08-20 17:17:15,850 - INFO - mecpot PINN3, Epoch 300, Loss: 0.0108
2025-08-20 17:17:25,889 - INFO - mecpot PINN3, Epoch 400, Loss: 0.0103
2025-08-20 17:17:35,913 - INFO - mecpot PINN3, Epoch 500, Loss: 0.0095
2025-08-20 17:17:45,926 - INFO - mecpot PINN3, Epoch 600, Loss: 0.0078
2025-08-20 17:17:55,944 - INFO - mecpot PINN3, Epoch 700, Loss: 0.0070
2025-08-20 17:18:06,069 - INFO - mecpot PINN3, Epoch 800, Loss: 0.0068
2025-08-20 17:18:16,144 - INFO - mecpot PINN3, Epoch 900, Loss: 0.0068
2025-08-20 17:18:26,201 - INFO - mecpot PINN3, Epoch 1000, Loss: 0.0067
2025-08-20 17:18:36,237 - INFO - mecpot PINN3, Epoch 1100, Loss: 0.0067
2025-08-20 17:18:46,235 - INFO - mecpot PINN3, Epoch 1200, Loss: 0.0067
2025-08-20 17:18:56,305 - INFO - mecpot PINN3, Epoch 1300, Loss: 0.0067
2025-08-20 17:19:06,335 - INFO - mecpot PINN3, Epoch 1400, Loss: 0.0066
2025-08-20 17:19:16,257 - INFO - Saved PINN 3 for mecpot
2025-08-20 17:19:16,378 - INFO - mecpot PINN4, Epoch 0, Loss: 0.1835
2025-08-20 17:19:26,439 - INFO - mecpot PINN4, Epoch 100, Loss: 0.0187
2025-08-20 17:19:36,498 - INFO - mecpot PINN4, Epoch 200, Loss: 0.0175
2025-08-20 17:19:46,533 - INFO - mecpot PINN4, Epoch 300, Loss: 0.0150
2025-08-20 17:19:56,590 - INFO - mecpot PINN4, Epoch 400, Loss: 0.0122
2025-08-20 17:20:06,652 - INFO - mecpot PINN4, Epoch 500, Loss: 0.0117
2025-08-20 17:20:16,704 - INFO - mecpot PINN4, Epoch 600, Loss: 0.0115
2025-08-20 17:20:26,772 - INFO - mecpot PINN4, Epoch 700, Loss: 0.0115
2025-08-20 17:20:36,828 - INFO - mecpot PINN4, Epoch 800, Loss: 0.0114
2025-08-20 17:20:46,858 - INFO - mecpot PINN4, Epoch 900, Loss: 0.0114
2025-08-20 17:20:56,879 - INFO - mecpot PINN4, Epoch 1000, Loss: 0.0114
2025-08-20 17:21:06,906 - INFO - mecpot PINN4, Epoch 1100, Loss: 0.0114
2025-08-20 17:21:16,955 - INFO - mecpot PINN4, Epoch 1200, Loss: 0.0114
2025-08-20 17:21:27,012 - INFO - mecpot PINN4, Epoch 1300, Loss: 0.0113
2025-08-20 17:21:37,059 - INFO - mecpot PINN4, Epoch 1400, Loss: 0.0113
2025-08-20 17:21:47,009 - INFO - Saved PINN 4 for mecpot
2025-08-20 17:21:47,129 - INFO - mecpot PINN5, Epoch 0, Loss: 0.3538
2025-08-20 17:21:57,207 - INFO - mecpot PINN5, Epoch 100, Loss: 0.0035
2025-08-20 17:22:07,272 - INFO - mecpot PINN5, Epoch 200, Loss: 0.0031
2025-08-20 17:22:17,346 - INFO - mecpot PINN5, Epoch 300, Loss: 0.0029
2025-08-20 17:22:27,397 - INFO - mecpot PINN5, Epoch 400, Loss: 0.0028
2025-08-20 17:22:37,455 - INFO - mecpot PINN5, Epoch 500, Loss: 0.0027
2025-08-20 17:22:47,517 - INFO - mecpot PINN5, Epoch 600, Loss: 0.0026
2025-08-20 17:22:57,574 - INFO - mecpot PINN5, Epoch 700, Loss: 0.0024
2025-08-20 17:23:07,633 - INFO - mecpot PINN5, Epoch 800, Loss: 0.0022
2025-08-20 17:23:17,666 - INFO - mecpot PINN5, Epoch 900, Loss: 0.0020
2025-08-20 17:23:27,731 - INFO - mecpot PINN5, Epoch 1000, Loss: 0.0019
2025-08-20 17:23:37,779 - INFO - mecpot PINN5, Epoch 1100, Loss: 0.0019
2025-08-20 17:23:47,834 - INFO - mecpot PINN5, Epoch 1200, Loss: 0.0018
2025-08-20 17:23:57,933 - INFO - mecpot PINN5, Epoch 1300, Loss: 0.0018
2025-08-20 17:24:07,982 - INFO - mecpot PINN5, Epoch 1400, Loss: 0.0018
2025-08-20 17:24:17,916 - INFO - Saved PINN 5 for mecpot
2025-08-20 17:24:18,036 - INFO - mecpot PINN6, Epoch 0, Loss: 0.9971
2025-08-20 17:24:28,105 - INFO - mecpot PINN6, Epoch 100, Loss: 0.0097
2025-08-20 17:24:38,144 - INFO - mecpot PINN6, Epoch 200, Loss: 0.0088
2025-08-20 17:24:48,229 - INFO - mecpot PINN6, Epoch 300, Loss: 0.0083
2025-08-20 17:24:58,305 - INFO - mecpot PINN6, Epoch 400, Loss: 0.0075
2025-08-20 17:25:08,350 - INFO - mecpot PINN6, Epoch 500, Loss: 0.0066
2025-08-20 17:25:18,379 - INFO - mecpot PINN6, Epoch 600, Loss: 0.0060
2025-08-20 17:25:28,463 - INFO - mecpot PINN6, Epoch 700, Loss: 0.0058
2025-08-20 17:25:38,547 - INFO - mecpot PINN6, Epoch 800, Loss: 0.0057
2025-08-20 17:25:48,605 - INFO - mecpot PINN6, Epoch 900, Loss: 0.0057
2025-08-20 17:25:58,675 - INFO - mecpot PINN6, Epoch 1000, Loss: 0.0056
2025-08-20 17:26:08,708 - INFO - mecpot PINN6, Epoch 1100, Loss: 0.0056
2025-08-20 17:26:18,745 - INFO - mecpot PINN6, Epoch 1200, Loss: 0.0056
2025-08-20 17:26:28,762 - INFO - mecpot PINN6, Epoch 1300, Loss: 0.0055
2025-08-20 17:26:38,888 - INFO - mecpot PINN6, Epoch 1400, Loss: 0.0055
2025-08-20 17:26:48,795 - INFO - Saved PINN 6 for mecpot
2025-08-20 17:26:48,915 - INFO - mecpot PINN7, Epoch 0, Loss: 0.6658
2025-08-20 17:26:58,925 - INFO - mecpot PINN7, Epoch 100, Loss: 0.0036
2025-08-20 17:27:08,964 - INFO - mecpot PINN7, Epoch 200, Loss: 0.0034
2025-08-20 17:27:18,965 - INFO - mecpot PINN7, Epoch 300, Loss: 0.0034
2025-08-20 17:27:28,976 - INFO - mecpot PINN7, Epoch 400, Loss: 0.0033
2025-08-20 17:27:38,985 - INFO - mecpot PINN7, Epoch 500, Loss: 0.0032
2025-08-20 17:27:48,990 - INFO - mecpot PINN7, Epoch 600, Loss: 0.0030
2025-08-20 17:27:58,945 - INFO - mecpot PINN7, Epoch 700, Loss: 0.0026
2025-08-20 17:28:08,986 - INFO - mecpot PINN7, Epoch 800, Loss: 0.0022
2025-08-20 17:28:18,965 - INFO - mecpot PINN7, Epoch 900, Loss: 0.0021
2025-08-20 17:28:28,947 - INFO - mecpot PINN7, Epoch 1000, Loss: 0.0021
2025-08-20 17:28:38,939 - INFO - mecpot PINN7, Epoch 1100, Loss: 0.0021
2025-08-20 17:28:48,963 - INFO - mecpot PINN7, Epoch 1200, Loss: 0.0021
2025-08-20 17:28:58,977 - INFO - mecpot PINN7, Epoch 1300, Loss: 0.0021
2025-08-20 17:29:08,978 - INFO - mecpot PINN7, Epoch 1400, Loss: 0.0021
2025-08-20 17:29:18,856 - INFO - Saved PINN 7 for mecpot
2025-08-20 17:29:18,975 - INFO - mecpot PINN8, Epoch 0, Loss: 0.6092
2025-08-20 17:29:29,088 - INFO - mecpot PINN8, Epoch 100, Loss: 0.0071
2025-08-20 17:29:39,210 - INFO - mecpot PINN8, Epoch 200, Loss: 0.0067
2025-08-20 17:29:49,244 - INFO - mecpot PINN8, Epoch 300, Loss: 0.0063
2025-08-20 17:29:59,240 - INFO - mecpot PINN8, Epoch 400, Loss: 0.0058
2025-08-20 17:30:09,252 - INFO - mecpot PINN8, Epoch 500, Loss: 0.0051
2025-08-20 17:30:19,227 - INFO - mecpot PINN8, Epoch 600, Loss: 0.0047
2025-08-20 17:30:29,255 - INFO - mecpot PINN8, Epoch 700, Loss: 0.0046
2025-08-20 17:30:39,254 - INFO - mecpot PINN8, Epoch 800, Loss: 0.0045
2025-08-20 17:30:49,283 - INFO - mecpot PINN8, Epoch 900, Loss: 0.0044
2025-08-20 17:30:59,305 - INFO - mecpot PINN8, Epoch 1000, Loss: 0.0044
2025-08-20 17:31:09,369 - INFO - mecpot PINN8, Epoch 1100, Loss: 0.0044
2025-08-20 17:31:19,399 - INFO - mecpot PINN8, Epoch 1200, Loss: 0.0044
2025-08-20 17:31:29,434 - INFO - mecpot PINN8, Epoch 1300, Loss: 0.0044
2025-08-20 17:31:39,540 - INFO - mecpot PINN8, Epoch 1400, Loss: 0.0044
2025-08-20 17:31:49,457 - INFO - Saved PINN 8 for mecpot
2025-08-20 17:31:49,578 - INFO - mecpot PINN9, Epoch 0, Loss: 0.0639
2025-08-20 17:31:59,615 - INFO - mecpot PINN9, Epoch 100, Loss: 0.0125
2025-08-20 17:32:09,620 - INFO - mecpot PINN9, Epoch 200, Loss: 0.0118
2025-08-20 17:32:19,661 - INFO - mecpot PINN9, Epoch 300, Loss: 0.0111
2025-08-20 17:32:29,687 - INFO - mecpot PINN9, Epoch 400, Loss: 0.0102
2025-08-20 17:32:39,741 - INFO - mecpot PINN9, Epoch 500, Loss: 0.0090
2025-08-20 17:32:49,773 - INFO - mecpot PINN9, Epoch 600, Loss: 0.0083
2025-08-20 17:32:59,786 - INFO - mecpot PINN9, Epoch 700, Loss: 0.0080
2025-08-20 17:33:09,816 - INFO - mecpot PINN9, Epoch 800, Loss: 0.0079
2025-08-20 17:33:19,813 - INFO - mecpot PINN9, Epoch 900, Loss: 0.0078
2025-08-20 17:33:29,841 - INFO - mecpot PINN9, Epoch 1000, Loss: 0.0078
2025-08-20 17:33:39,875 - INFO - mecpot PINN9, Epoch 1100, Loss: 0.0078
2025-08-20 17:33:49,870 - INFO - mecpot PINN9, Epoch 1200, Loss: 0.0077
2025-08-20 17:33:59,898 - INFO - mecpot PINN9, Epoch 1300, Loss: 0.0077
2025-08-20 17:34:09,912 - INFO - mecpot PINN9, Epoch 1400, Loss: 0.0077
2025-08-20 17:34:19,806 - INFO - Saved PINN 9 for mecpot
2025-08-20 17:34:19,937 - INFO - mecpot PINN10, Epoch 0, Loss: 0.2121
2025-08-20 17:34:29,951 - INFO - mecpot PINN10, Epoch 100, Loss: 0.0094
2025-08-20 17:34:39,991 - INFO - mecpot PINN10, Epoch 200, Loss: 0.0087
2025-08-20 17:34:49,983 - INFO - mecpot PINN10, Epoch 300, Loss: 0.0081
2025-08-20 17:35:00,035 - INFO - mecpot PINN10, Epoch 400, Loss: 0.0074
2025-08-20 17:35:10,264 - INFO - mecpot PINN10, Epoch 500, Loss: 0.0066
2025-08-20 17:35:20,360 - INFO - mecpot PINN10, Epoch 600, Loss: 0.0061
2025-08-20 17:35:30,369 - INFO - mecpot PINN10, Epoch 700, Loss: 0.0059
2025-08-20 17:35:40,394 - INFO - mecpot PINN10, Epoch 800, Loss: 0.0058
2025-08-20 17:35:50,477 - INFO - mecpot PINN10, Epoch 900, Loss: 0.0057
2025-08-20 17:36:00,543 - INFO - mecpot PINN10, Epoch 1000, Loss: 0.0057
2025-08-20 17:36:10,558 - INFO - mecpot PINN10, Epoch 1100, Loss: 0.0057
2025-08-20 17:36:20,559 - INFO - mecpot PINN10, Epoch 1200, Loss: 0.0057
2025-08-20 17:36:30,615 - INFO - mecpot PINN10, Epoch 1300, Loss: 0.0057
2025-08-20 17:36:40,623 - INFO - mecpot PINN10, Epoch 1400, Loss: 0.0056
2025-08-20 17:36:50,523 - INFO - Saved PINN 10 for mecpot
2025-08-20 17:36:50,647 - INFO - mecpot PINN11, Epoch 0, Loss: 0.2298
2025-08-20 17:37:00,688 - INFO - mecpot PINN11, Epoch 100, Loss: 0.0045
2025-08-20 17:37:10,737 - INFO - mecpot PINN11, Epoch 200, Loss: 0.0043
2025-08-20 17:37:20,825 - INFO - mecpot PINN11, Epoch 300, Loss: 0.0042
2025-08-20 17:37:30,854 - INFO - mecpot PINN11, Epoch 400, Loss: 0.0040
2025-08-20 17:37:40,930 - INFO - mecpot PINN11, Epoch 500, Loss: 0.0037
2025-08-20 17:37:50,990 - INFO - mecpot PINN11, Epoch 600, Loss: 0.0034
2025-08-20 17:38:01,046 - INFO - mecpot PINN11, Epoch 700, Loss: 0.0030
2025-08-20 17:38:11,040 - INFO - mecpot PINN11, Epoch 800, Loss: 0.0028
2025-08-20 17:38:21,070 - INFO - mecpot PINN11, Epoch 900, Loss: 0.0028
2025-08-20 17:38:31,091 - INFO - mecpot PINN11, Epoch 1000, Loss: 0.0027
2025-08-20 17:38:41,163 - INFO - mecpot PINN11, Epoch 1100, Loss: 0.0027
2025-08-20 17:38:51,195 - INFO - mecpot PINN11, Epoch 1200, Loss: 0.0027
2025-08-20 17:39:01,192 - INFO - mecpot PINN11, Epoch 1300, Loss: 0.0027
2025-08-20 17:39:11,223 - INFO - mecpot PINN11, Epoch 1400, Loss: 0.0027
2025-08-20 17:39:21,093 - INFO - Saved PINN 11 for mecpot
2025-08-20 17:39:21,220 - INFO - mecpot PINN12, Epoch 0, Loss: 1.5486
2025-08-20 17:39:31,276 - INFO - mecpot PINN12, Epoch 100, Loss: 0.0227
2025-08-20 17:39:41,273 - INFO - mecpot PINN12, Epoch 200, Loss: 0.0221
2025-08-20 17:39:51,293 - INFO - mecpot PINN12, Epoch 300, Loss: 0.0213
2025-08-20 17:40:01,323 - INFO - mecpot PINN12, Epoch 400, Loss: 0.0186
2025-08-20 17:40:11,292 - INFO - mecpot PINN12, Epoch 500, Loss: 0.0138
2025-08-20 17:40:21,272 - INFO - mecpot PINN12, Epoch 600, Loss: 0.0135
2025-08-20 17:40:31,275 - INFO - mecpot PINN12, Epoch 700, Loss: 0.0135
2025-08-20 17:40:41,286 - INFO - mecpot PINN12, Epoch 800, Loss: 0.0134
2025-08-20 17:40:51,280 - INFO - mecpot PINN12, Epoch 900, Loss: 0.0134
2025-08-20 17:41:01,349 - INFO - mecpot PINN12, Epoch 1000, Loss: 0.0134
2025-08-20 17:41:11,405 - INFO - mecpot PINN12, Epoch 1100, Loss: 0.0134
2025-08-20 17:41:21,437 - INFO - mecpot PINN12, Epoch 1200, Loss: 0.0134
2025-08-20 17:41:31,487 - INFO - mecpot PINN12, Epoch 1300, Loss: 0.0133
2025-08-20 17:41:41,495 - INFO - mecpot PINN12, Epoch 1400, Loss: 0.0133
2025-08-20 17:41:51,485 - INFO - Saved PINN 12 for mecpot
2025-08-20 17:41:51,606 - INFO - mecpot PINN13, Epoch 0, Loss: 1.0355
2025-08-20 17:42:01,672 - INFO - mecpot PINN13, Epoch 100, Loss: 0.0045
2025-08-20 17:42:11,746 - INFO - mecpot PINN13, Epoch 200, Loss: 0.0043
2025-08-20 17:42:21,794 - INFO - mecpot PINN13, Epoch 300, Loss: 0.0042
2025-08-20 17:42:31,799 - INFO - mecpot PINN13, Epoch 400, Loss: 0.0040
2025-08-20 17:42:41,801 - INFO - mecpot PINN13, Epoch 500, Loss: 0.0037
2025-08-20 17:42:51,791 - INFO - mecpot PINN13, Epoch 600, Loss: 0.0035
2025-08-20 17:43:01,877 - INFO - mecpot PINN13, Epoch 700, Loss: 0.0032
2025-08-20 17:43:11,887 - INFO - mecpot PINN13, Epoch 800, Loss: 0.0031
2025-08-20 17:43:21,935 - INFO - mecpot PINN13, Epoch 900, Loss: 0.0029
2025-08-20 17:43:31,939 - INFO - mecpot PINN13, Epoch 1000, Loss: 0.0029
2025-08-20 17:43:41,977 - INFO - mecpot PINN13, Epoch 1100, Loss: 0.0028
2025-08-20 17:43:52,011 - INFO - mecpot PINN13, Epoch 1200, Loss: 0.0028
2025-08-20 17:44:02,051 - INFO - mecpot PINN13, Epoch 1300, Loss: 0.0028
2025-08-20 17:44:12,271 - INFO - mecpot PINN13, Epoch 1400, Loss: 0.0028
2025-08-20 17:44:22,237 - INFO - Saved PINN 13 for mecpot
2025-08-20 17:44:22,355 - INFO - mecpot PINN14, Epoch 0, Loss: 0.0562
2025-08-20 17:44:32,368 - INFO - mecpot PINN14, Epoch 100, Loss: 0.0238
2025-08-20 17:44:42,399 - INFO - mecpot PINN14, Epoch 200, Loss: 0.0224
2025-08-20 17:44:52,448 - INFO - mecpot PINN14, Epoch 300, Loss: 0.0193
2025-08-20 17:45:02,480 - INFO - mecpot PINN14, Epoch 400, Loss: 0.0153
2025-08-20 17:45:12,523 - INFO - mecpot PINN14, Epoch 500, Loss: 0.0148
2025-08-20 17:45:22,519 - INFO - mecpot PINN14, Epoch 600, Loss: 0.0146
2025-08-20 17:45:32,496 - INFO - mecpot PINN14, Epoch 700, Loss: 0.0145
2025-08-20 17:45:42,536 - INFO - mecpot PINN14, Epoch 800, Loss: 0.0144
2025-08-20 17:45:52,613 - INFO - mecpot PINN14, Epoch 900, Loss: 0.0144
2025-08-20 17:46:02,674 - INFO - mecpot PINN14, Epoch 1000, Loss: 0.0144
2025-08-20 17:46:12,722 - INFO - mecpot PINN14, Epoch 1100, Loss: 0.0144
2025-08-20 17:46:22,714 - INFO - mecpot PINN14, Epoch 1200, Loss: 0.0144
2025-08-20 17:46:32,765 - INFO - mecpot PINN14, Epoch 1300, Loss: 0.0144
2025-08-20 17:46:42,886 - INFO - mecpot PINN14, Epoch 1400, Loss: 0.0143
2025-08-20 17:46:52,912 - INFO - Saved PINN 14 for mecpot
2025-08-20 17:46:53,032 - INFO - mecpot PINN15, Epoch 0, Loss: 0.0574
2025-08-20 17:47:03,091 - INFO - mecpot PINN15, Epoch 100, Loss: 0.0092
2025-08-20 17:47:13,162 - INFO - mecpot PINN15, Epoch 200, Loss: 0.0089
2025-08-20 17:47:23,241 - INFO - mecpot PINN15, Epoch 300, Loss: 0.0086
2025-08-20 17:47:33,323 - INFO - mecpot PINN15, Epoch 400, Loss: 0.0078
2025-08-20 17:47:43,359 - INFO - mecpot PINN15, Epoch 500, Loss: 0.0060
2025-08-20 17:47:53,418 - INFO - mecpot PINN15, Epoch 600, Loss: 0.0057
2025-08-20 17:48:03,508 - INFO - mecpot PINN15, Epoch 700, Loss: 0.0056
2025-08-20 17:48:13,538 - INFO - mecpot PINN15, Epoch 800, Loss: 0.0056
2025-08-20 17:48:23,589 - INFO - mecpot PINN15, Epoch 900, Loss: 0.0056
2025-08-20 17:48:33,641 - INFO - mecpot PINN15, Epoch 1000, Loss: 0.0055
2025-08-20 17:48:43,654 - INFO - mecpot PINN15, Epoch 1100, Loss: 0.0055
2025-08-20 17:48:53,705 - INFO - mecpot PINN15, Epoch 1200, Loss: 0.0055
2025-08-20 17:49:03,734 - INFO - mecpot PINN15, Epoch 1300, Loss: 0.0055
2025-08-20 17:49:13,716 - INFO - mecpot PINN15, Epoch 1400, Loss: 0.0055
2025-08-20 17:49:23,697 - INFO - Saved PINN 15 for mecpot
2025-08-20 17:49:23,818 - INFO - mecpot PINN16, Epoch 0, Loss: 0.0274
2025-08-20 17:49:33,817 - INFO - mecpot PINN16, Epoch 100, Loss: 0.0026
2025-08-20 17:49:43,846 - INFO - mecpot PINN16, Epoch 200, Loss: 0.0025
2025-08-20 17:49:53,930 - INFO - mecpot PINN16, Epoch 300, Loss: 0.0024
2025-08-20 17:50:03,959 - INFO - mecpot PINN16, Epoch 400, Loss: 0.0024
2025-08-20 17:50:13,988 - INFO - mecpot PINN16, Epoch 500, Loss: 0.0023
2025-08-20 17:50:24,117 - INFO - mecpot PINN16, Epoch 600, Loss: 0.0021
2025-08-20 17:50:34,156 - INFO - mecpot PINN16, Epoch 700, Loss: 0.0019
2025-08-20 17:50:44,131 - INFO - mecpot PINN16, Epoch 800, Loss: 0.0017
2025-08-20 17:50:54,184 - INFO - mecpot PINN16, Epoch 900, Loss: 0.0016
2025-08-20 17:51:04,255 - INFO - mecpot PINN16, Epoch 1000, Loss: 0.0016
2025-08-20 17:51:14,295 - INFO - mecpot PINN16, Epoch 1100, Loss: 0.0016
2025-08-20 17:51:24,376 - INFO - mecpot PINN16, Epoch 1200, Loss: 0.0016
2025-08-20 17:51:34,457 - INFO - mecpot PINN16, Epoch 1300, Loss: 0.0016
2025-08-20 17:51:44,432 - INFO - mecpot PINN16, Epoch 1400, Loss: 0.0016
2025-08-20 17:51:54,401 - INFO - Saved PINN 16 for mecpot
2025-08-20 17:51:54,521 - INFO - mecpot PINN17, Epoch 0, Loss: 0.9026
2025-08-20 17:52:04,450 - INFO - mecpot PINN17, Epoch 100, Loss: 0.0088
2025-08-20 17:52:14,407 - INFO - mecpot PINN17, Epoch 200, Loss: 0.0082
2025-08-20 17:52:24,398 - INFO - mecpot PINN17, Epoch 300, Loss: 0.0079
2025-08-20 17:52:34,381 - INFO - mecpot PINN17, Epoch 400, Loss: 0.0074
2025-08-20 17:52:44,289 - INFO - mecpot PINN17, Epoch 500, Loss: 0.0067
2025-08-20 17:52:54,287 - INFO - mecpot PINN17, Epoch 600, Loss: 0.0059
2025-08-20 17:53:04,277 - INFO - mecpot PINN17, Epoch 700, Loss: 0.0054
2025-08-20 17:53:14,270 - INFO - mecpot PINN17, Epoch 800, Loss: 0.0053
2025-08-20 17:53:24,294 - INFO - mecpot PINN17, Epoch 900, Loss: 0.0052
